Tratamentos,REP,COL,S,N,H
DIV 1,R1,1,11,13,2.352
DIV 1,R2,1,19,22,2.902
DIV 1,R3,1,7,7,1.946
DIV 1,R4,1,6,11,1.642
DIV 1,R5,1,13,15,2.523
DIV 1,R6,1,18,19,2.871
DIV 1,R7,1,17,19,2.799
DIV 1,R8,1,18,21,2.822
DIV 1,R9,1,11,15,2.246
DIV 1,R10,1,20,26,2.865
DIV 2,R1,1,11,11,2.398
DIV 2,R2,1,10,11,2.272
DIV 2,R3,1,9,10,2.164
DIV 2,R4,1,8,11,2.02
DIV 2,R5,1,8,15,1.708
DIV 2,R6,1,9,9,2.197
DIV 2,R7,1,12,16,2.393
DIV 2,R8,1,10,10,2.303
DIV 2,R9,1,9,10,2.164
DIV 2,R10,1,10,11,2.272
MONO 1,R1,1,14,41,1.637
MONO 1,R2,1,13,45,1.435
MONO 1,R3,1,18,51,2.168
MONO 1,R4,1,20,44,2.241
MONO 1,R5,1,18,64,1.59
MONO 1,R6,1,17,25,2.664
MONO 1,R7,1,13,21,2.401
MONO 1,R8,1,23,33,2.959
MONO 1,R9,1,19,31,2.772
MONO 1,R10,1,16,20,2.649
MONO 2,R1,1,10,12,2.254
MONO 2,R2,1,12,14,2.441
MONO 2,R3,1,14,19,2.525
MONO 2,R4,1,15,20,2.58
MONO 2,R5,1,21,37,2.622
MONO 2,R6,1,15,27,2.413
MONO 2,R7,1,11,13,2.352
MONO 2,R8,1,16,19,2.726
MONO 2,R9,1,16,21,2.648
MONO 2,R10,1,8,8,2.079
DIV 1,R1,2,19,22,2.902
DIV 1,R2,2,14,18,2.582
DIV 1,R3,2,18,23,2.789
DIV 1,R4,2,21,24,3.005
DIV 1,R5,2,17,21,2.756
DIV 1,R6,2,10,10,2.303
DIV 1,R7,2,20,22,2.965
DIV 1,R8,2,11,11,2.398
DIV 1,R9,2,17,22,2.752
DIV 1,R10,2,15,21,2.558
DIV 2,R1,2,12,167,0.6713
DIV 2,R2,2,18,104,1.423
DIV 2,R3,2,22,78,1.965
DIV 2,R4,2,16,43,2.22
DIV 2,R5,2,5,7,1.475
DIV 2,R6,2,11,11,2.398
DIV 2,R7,2,9,13,1.946
DIV 2,R8,2,5,10,1.228
DIV 2,R9,2,2,2,0.6931
MONO 1,R1,2,11,14,2.243
MONO 1,R2,2,19,23,2.834
MONO 1,R3,2,21,23,3.015
MONO 1,R4,2,19,25,2.844
MONO 1,R5,2,22,26,3.025
MONO 1,R6,2,26,35,3.144
MONO 1,R7,2,24,33,2.958
MONO 1,R8,2,18,23,2.774
MONO 1,R9,2,29,40,3.199
MONO 1,R10,2,27,49,2.864
MONO 2,R1,2,7,10,1.887
MONO 2,R2,2,6,6,1.792
MONO 2,R3,2,7,13,1.778
MONO 2,R4,2,7,11,1.846
MONO 2,R5,2,8,13,1.885
MONO 2,R6,2,1,1,0
MONO 2,R7,2,14,15,2.616
MONO 2,R8,2,8,10,2.025
MONO 2,R9,2,6,6,1.792
MONO 2,R10,2,6,6,1.792
